stat_id,video_id,views,likes,dislikes,comments,watch_time_min,stat_date,title,category,upload_date,duration_sec,view_id,sub_id,watch_date,watch_duration,join_date,gender,country
1,19,6496,1082,3,895,3828,2025-07-09,Video 19,Education,2025-05-13,344,10,90,2025-07-09,645,2024-12-10,Other,India
1,19,6496,1082,3,895,3828,2025-07-09,Video 19,Education,2025-05-13,344,19,69,2025-07-09,280,2024-10-14,Female,UK
1,19,6496,1082,3,895,3828,2025-07-09,Video 19,Education,2025-05-13,344,48,56,2025-07-09,820,2025-01-03,Female,Germany
1,19,6496,1082,3,895,3828,2025-07-09,Video 19,Education,2025-05-13,344,115,46,2025-07-09,294,2024-09-02,Other,UK
1,19,6496,1082,3,895,3828,2025-07-09,Video 19,Education,2025-05-13,344,117,59,2025-07-09,609,2025-06-22,Other,Canada
1,19,6496,1082,3,895,3828,2025-07-09,Video 19,Education,2025-05-13,344,145,38,2025-07-09,332,2024-07-23,Female,Germany
1,19,6496,1082,3,895,3828,2025-07-09,Video 19,Education,2025-05-13,344,146,30,2025-07-09,268,2025-06-03,Female,India
1,19,6496,1082,3,895,3828,2025-07-09,Video 19,Education,2025-05-13,344,184,7,2025-07-09,255,2025-01-26,Female,India
1,19,6496,1082,3,895,3828,2025-07-09,Video 19,Education,2025-05-13,344,196,77,2025-07-09,482,2024-08-24,Other,USA
1,19,6496,1082,3,895,3828,2025-07-09,Video 19,Education,2025-05-13,344,199,100,2025-07-09,862,2025-05-13,Male,USA
2,19,4445,2467,341,416,3752,2025-07-09,Video 19,Education,2025-05-13,344,10,90,2025-07-09,645,2024-12-10,Other,India
2,19,4445,2467,341,416,3752,2025-07-09,Video 19,Education,2025-05-13,344,19,69,2025-07-09,280,2024-10-14,Female,UK
2,19,4445,2467,341,416,3752,2025-07-09,Video 19,Education,2025-05-13,344,48,56,2025-07-09,820,2025-01-03,Female,Germany
2,19,4445,2467,341,416,3752,2025-07-09,Video 19,Education,2025-05-13,344,115,46,2025-07-09,294,2024-09-02,Other,UK
2,19,4445,2467,341,416,3752,2025-07-09,Video 19,Education,2025-05-13,344,117,59,2025-07-09,609,2025-06-22,Other,Canada
